City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
468,Akdepe,TM,80.69,overcast clouds,42.0551,59.3788,
470,Tahta,EG,86.99,scattered clouds,26.7693,31.5021,فندق الزيات
471,Sarab,IR,75.56,scattered clouds,38.6066,44.9883,مسجد امام رضا
474,Sabha,LY,84.22,clear sky,27.0377,14.4283,محطة ام الارانب -سبها مواصلات
479,The Valley,AI,85.86,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
480,Machala,EC,75.15,overcast clouds,-3.2667,-79.9667,"Hotel ""Bolivar Internacional"""
481,Black River,JM,87.03,clear sky,18.0264,-77.8487,Idlers' Rest Beach Hotel
482,Morris,US,82.22,overcast clouds,40.8334,-74.5329,Parsippany Inn and Suites Morris Plains
485,Pahrump,US,78.85,light rain,36.2083,-115.9839,Best Western Pahrump Oasis
488,Watertown,US,85.17,broken clouds,42.3709,-71.1828,16 Washburn Street Watertown MA
490,Ternate,ID,80.26,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
491,Gizo,SB,83.28,clear sky,-8.103,156.8419,Imagination Island
495,Kavieng,PG,83.55,light rain,-2.5744,150.7967,Nusa Island Retreat
499,Corinto,GR,79.9,clear sky,37.9407,22.9573,Ephira Hotel
500,Rosarito,MX,88.63,few clouds,32.3333,-117.0333,Hotel Festival Plaza Rosarito
501,Mino,JP,87.89,broken clouds,34.8269,135.4706,Ooedo Onsen Monogatari Minoh Kankō Hotel
502,Dezhou,CN,80.69,broken clouds,37.4486,116.2925,Zhongtai International Hotel
505,Elizabeth City,US,77.05,moderate rain,36.2946,-76.2511,Hampton Inn Elizabeth City
506,Gravelbourg,CA,84.47,scattered clouds,49.8834,-106.5512,Historic Bishops Residence Bed & Breakfast
510,Nouadhibou,MR,75.18,few clouds,20.931,-17.0347,El Medina
512,Boli,CN,77.11,scattered clouds,45.7667,130.5167,The Disabled Recovery Xunlianshi
516,Flagstaff,US,80.26,broken clouds,35.1981,-111.6513,Drury Inn & Suites Flagstaff
517,Isla Mujeres,MX,87.85,scattered clouds,21.2311,-86.731,Hotel La Joya Isla Mujeres
523,San Jose,US,87.91,broken clouds,37.3394,-121.895,The Westin San Jose
524,Willmar,US,84.15,clear sky,45.1219,-95.0433,Lakeview Inn
526,Bandarbeyla,SO,76.05,broken clouds,9.4942,50.8122,JABIR HOTEL
528,Nantucket,US,78.91,broken clouds,41.2835,-70.0995,Jared Coffin House
529,Segou,ML,82.47,broken clouds,13.4317,-6.2157,Comme chez soi
530,Camalu,MX,77.74,few clouds,30.85,-116.0667,La Cueva del Pirata
531,Vinukonda,IN,83.08,overcast clouds,16.05,79.75,VLS Residency
532,Acapulco,MX,85.68,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
535,Kourou,GF,83.1,scattered clouds,5.1552,-52.6478,Lodge TAKINI4 Guesthouse KOUROU FGU
536,Saint George,US,89.44,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
539,Zaragoza,ES,83.01,clear sky,41.6561,-0.8773,Hotel Goya
542,Sola,VU,81.27,thunderstorm,-13.8833,167.55,Leumerus Bungalows
543,Itupiranga,BR,82.72,overcast clouds,-5.1347,-49.3267,Hotel Panorama
544,Pombas,CV,76.78,scattered clouds,17.1503,-25.0201,Paul Paradis
548,Yatou,CN,77.2,moderate rain,37.15,122.3833,GreenTree Hotel Rongcheng Bus Station
549,Tank,PK,79.12,broken clouds,32.2217,70.3793,Gula Jan Abdulai
552,Tuy Hoa,VN,77.25,light rain,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
555,Gorodovikovsk,RU,77.22,few clouds,46.0878,41.9335,Gostinitsa
556,Hami,CN,81.05,scattered clouds,42.8,93.45,Laoyutang Resort
562,Bhatkal,IN,79.5,overcast clouds,13.9667,74.5667,Nilawar Palace
563,Jiaozuo,CN,80.89,clear sky,35.2397,113.2331,Days Hotel and Suites Jiaozuo
565,Thaton,MM,77.81,overcast clouds,16.9206,97.3714,"Shwe Pyi Soe Guest House, Thaton"
569,Hamamatsu,JP,88.93,overcast clouds,34.7,137.7333,Hotel Crown Palais Hamamatsu
570,Fukuma,JP,88.16,clear sky,33.7667,130.4667,Masago
571,Perbaungan,ID,77.11,overcast clouds,3.5679,98.956,Bendang Lama
572,Jiwani,PK,81.18,broken clouds,25.05,61.7417,Hamza hotel jiwani
573,Diffa,NE,83.93,overcast clouds,13.3154,12.6113,ProDAF/Diffa
578,Sao Jose Da Coroa Grande,BR,75.11,scattered clouds,-8.8978,-35.1478,Crôa Mares Hotel
579,Elat,IL,87.64,clear sky,29.5581,34.9482,Club Hotel Eilat
583,Buala,SB,84.54,light rain,-8.145,159.5921,Maringe Lagoon Lodge
584,Ahuimanu,US,83.91,clear sky,21.4447,-157.8378,Paradise Bay Resort
587,Wajima,JP,85.24,overcast clouds,37.4,136.9,Wajiima Onsen Yashio
594,Diu,IN,80.85,overcast clouds,20.7141,70.9822,Hotel Relax Inn
596,Xuanhua,CN,75.97,clear sky,40.6103,115.0447,Jinjiang Inn Zhangjiakou Xuanhua People's Park
599,Caucaia,BR,80.55,broken clouds,-3.7361,-38.6531,M.O.S. Logística - Filial Fortaleza
602,Russellville,US,84.06,overcast clouds,35.2784,-93.1338,Hampton Inn Russellville
603,Tianpeng,CN,79.27,broken clouds,30.9866,103.9393,Shuangliu Love Home Business Hotel
605,Caledon East,CA,83.08,broken clouds,43.8691,-79.8669,6 Ocean pond
609,Port-Gentil,GA,75.16,scattered clouds,-0.7193,8.7815,Fengshui Residence
611,Puerto Quijarro,BO,77.29,clear sky,-17.7833,-57.7667,Hotel palance
615,Collingwood,CA,82.71,broken clouds,44.4834,-80.2164,Comfort Inn & Suites
617,Panacan,PH,80.19,moderate rain,9.2463,118.4082,Mom's Place Resort
619,Lincoln,US,89.67,clear sky,40.8,-96.667,Courtyard by Marriott Lincoln Downtown/Haymarket
620,San Ignacio,BZ,77.14,clear sky,17.1561,-89.0714,Rainforest Haven Inn
623,Pangai,TO,82.51,few clouds,-19.8,-174.35,Ha'apai Beach Resort
624,Yinchuan,CN,77.27,overcast clouds,38.4681,106.2731,JJ Inns - Yinchuan New Moon Square Branch
625,Mitsamiouli,KM,75.52,clear sky,-11.3847,43.2844,Foyer ADM
626,Fushun,CN,76.71,broken clouds,41.8558,123.9233,Love Theme Apartment Xinhua Branch
629,Okotoks,CA,84.78,scattered clouds,50.7289,-113.9828,Econo Lodge
631,Wenzhou,CN,83.59,broken clouds,27.9994,120.6668,温州喜来登酒店
632,West Helena,US,76.68,light rain,34.5507,-90.6418,Best Western Inn
639,Shelburne,CA,80.76,broken clouds,44.0787,-80.2041,The Retreat at the Farm
640,Iquitos,PE,86.04,broken clouds,-3.7481,-73.2472,Cortez Malaga Techy Caroly
641,Monte Alegre,BR,78.04,broken clouds,-2.0078,-54.0692,Hotel Shekinah
642,Marsa Matruh,EG,79.0,clear sky,31.3525,27.2453,Beau Site
646,Seybaplaya,MX,78.26,overcast clouds,19.65,-90.6667,sala de fiesta san Rafael
647,Shimoda,JP,87.1,broken clouds,34.6667,138.95,Shimoda Tokyu Hotel
