City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
130,Mantua,IT,2022-07-30 10:27:58,45.1667,10.7833,85.33,63,0,3.0
131,Ixtapa,MX,2022-07-30 10:27:58,20.7,-105.2,76.23,94,100,10.36
132,Sao Joao Da Barra,BR,2022-07-30 10:27:59,-21.6403,-41.0511,68.09,78,97,10.11
133,Carman,CA,2022-07-30 10:27:59,49.4992,-98.0016,65.32,93,0,3.44
134,Urubamba,PE,2022-07-30 10:28:00,-13.3047,-72.1158,40.1,89,96,3.31
135,Karratha,AU,2022-07-30 10:18:29,-20.7377,116.8463,73.81,48,52,9.33
136,Sola,VU,2022-07-30 10:28:00,-13.8833,167.55,80.51,76,100,12.55
137,Papara,BR,2022-07-30 10:28:01,-3.9839,-38.7273,77.68,90,82,4.05
138,Barkot,IN,2022-07-30 10:28:02,30.8167,78.2,72.68,97,99,2.66
139,Kenai,US,2022-07-30 10:29:02,60.5544,-151.2583,55.49,93,100,0.0
140,Rawson,AR,2022-07-30 10:29:03,-43.3002,-65.1023,44.19,70,63,6.73
141,North Bend,US,2022-07-30 10:29:03,43.4065,-124.2243,61.92,96,100,6.91
142,Amahai,ID,2022-07-30 10:29:04,-3.3333,128.9167,77.29,91,98,4.38
143,Ambon,ID,2022-07-30 10:29:04,-3.6954,128.1814,77.14,94,40,3.44
144,Deming,US,2022-07-30 10:29:04,32.2687,-107.7586,69.69,83,0,3.44
145,Upernavik,GL,2022-07-30 10:29:05,72.7868,-56.1549,44.06,75,100,3.8
146,Mutis,CO,2022-07-30 10:29:05,6.2262,-77.4044,78.15,89,99,3.33
147,Victoria,HK,2022-07-30 10:28:32,22.2855,114.1577,87.85,78,19,5.01
148,Saint George,US,2022-07-30 10:20:58,37.1041,-113.5841,73.99,73,0,0.0
149,Palora,EC,2022-07-30 10:29:06,-1.7,-77.9333,62.71,97,59,3.29
150,Muros,ES,2022-07-30 10:29:07,42.7762,-9.0603,78.1,52,2,11.45
151,Puerto Ayora,EC,2022-07-30 10:29:07,-0.7393,-90.3518,70.56,87,76,7.0
152,Ribeira Grande,PT,2022-07-30 10:29:08,38.5167,-28.7,73.8,83,75,3.44
153,Dullewala,PK,2022-07-30 10:29:08,31.8359,71.4362,97.99,44,60,4.61
154,Otane,NZ,2022-07-30 10:29:09,-39.8833,176.6333,45.91,88,68,5.88
155,Guerrero Negro,MX,2022-07-30 10:29:09,27.9769,-114.0611,67.51,84,29,7.23
156,Freeport,US,2022-07-30 10:27:27,40.6576,-73.5832,76.01,72,100,13.8
157,Puerto Colombia,CO,2022-07-30 10:29:10,10.9878,-74.9547,80.69,84,80,16.11
158,Ewo,CG,2022-07-30 10:29:10,-0.8725,14.8206,86.72,44,22,7.49
159,Kavieng,PG,2022-07-30 10:29:11,-2.5744,150.7967,82.0,74,75,11.43
160,Acajutla,SV,2022-07-30 10:29:11,13.5928,-89.8275,76.23,82,23,5.77
161,Bathsheba,BB,2022-07-30 10:29:12,13.2167,-59.5167,81.21,88,20,14.97
162,Mount Isa,AU,2022-07-30 10:29:12,-20.7333,139.5,58.77,44,99,4.61
163,Gat,IL,2022-07-30 10:29:13,31.61,34.7642,95.4,35,0,14.29
164,Dezful,IR,2022-07-30 10:29:13,32.3811,48.4058,108.41,26,64,6.58
165,Vardo,NO,2022-07-30 10:29:14,70.3705,31.1107,51.78,87,100,8.05
166,Lompoc,US,2022-07-30 10:29:14,34.6391,-120.4579,59.77,96,100,1.01
167,Padang,ID,2022-07-30 10:19:47,-0.9492,100.3543,84.25,75,100,0.87
168,Burnie,AU,2022-07-30 10:26:34,-41.0667,145.9167,44.94,73,68,6.46
169,Mitsamiouli,KM,2022-07-30 10:29:15,-11.3847,43.2844,82.69,65,40,8.05
170,Morro Bay,US,2022-07-30 10:29:15,35.3658,-120.8499,65.41,88,62,0.83
171,Uppsala,SE,2022-07-30 10:29:16,60.0,17.75,69.24,60,75,5.75
172,Alekseyevskoye,RU,2022-07-30 10:29:16,55.3071,50.1135,70.36,72,100,4.94
173,Mahibadhoo,MV,2022-07-30 10:29:17,3.7833,72.9667,78.35,85,100,17.81
174,Maldonado,UY,2022-07-30 10:24:26,-34.6667,-54.9167,45.23,74,0,4.81
175,Umm Kaddadah,SD,2022-07-30 10:29:17,13.6017,26.6876,85.73,49,100,6.51
176,Nuristan,AF,2022-07-30 10:29:18,35.3,70.8333,59.41,62,100,7.38
177,Ostrovnoy,RU,2022-07-30 10:29:18,68.0531,39.5131,54.41,88,98,16.04
178,Taoudenni,ML,2022-07-30 10:29:19,22.6783,-3.9836,98.71,29,16,9.1
179,Bubaque,GW,2022-07-30 10:19:38,11.2833,-15.8333,79.09,76,100,13.71
180,Luangwa,ZM,2022-07-30 10:29:19,-15.6167,30.4167,79.52,32,5,5.73
181,Ponta Do Sol,PT,2022-07-30 10:29:20,32.6667,-17.1,81.72,69,5,3.67
182,Torbay,CA,2022-07-30 10:18:01,47.6666,-52.7314,62.28,93,100,18.41
183,Hanstholm,DK,2022-07-30 10:29:20,57.1167,8.6167,65.48,65,10,3.94
184,Peniche,PT,2022-07-30 10:30:21,39.3558,-9.3811,71.92,74,3,8.61
185,Wlodawa,PL,2022-07-30 10:30:22,51.55,23.55,70.38,62,100,9.15
186,Huangcun,CN,2022-07-30 10:30:22,30.0145,118.4037,79.72,81,92,4.76
187,Khorixas,NA,2022-07-30 10:30:23,-20.3667,14.9667,75.29,16,2,4.45
188,Vao,NC,2022-07-30 10:30:23,-22.6667,167.4833,68.72,79,100,25.7
189,Wucheng,CN,2022-07-30 10:30:24,29.6008,118.175,82.08,81,65,1.59
190,Pemba,MZ,2022-07-30 10:30:24,-12.974,40.5178,81.3,65,20,8.05
191,Geraldton,AU,2022-07-30 10:30:25,-28.7667,114.6,57.61,77,40,8.05
192,Calama,CL,2022-07-30 10:30:25,-22.4667,-68.9333,46.89,10,4,23.02
193,Severo-Kurilsk,RU,2022-07-30 10:30:25,50.6789,156.125,51.57,98,94,9.26
194,Ambilobe,MG,2022-07-30 10:30:26,-13.2,49.05,89.26,33,5,1.16
195,Zuwarah,LY,2022-07-30 10:30:26,32.9312,12.082,89.55,47,0,12.5
196,Erdenet,MN,2022-07-30 10:30:27,49.0333,104.0833,67.55,61,66,3.83
197,Ossora,RU,2022-07-30 10:30:27,59.2353,163.0719,55.0,84,98,4.12
198,Oistins,BB,2022-07-30 10:27:45,13.0667,-59.5333,80.69,78,20,14.97
199,Eregli,TR,2022-07-30 10:30:28,37.5133,34.0467,93.49,12,0,10.38
200,Xuddur,SO,2022-07-30 10:30:28,4.1213,43.8894,89.96,28,27,22.08
201,Sinnamary,GF,2022-07-30 10:30:29,5.3833,-52.95,78.64,84,13,6.85
202,Touros,BR,2022-07-30 10:30:30,-5.1989,-35.4608,78.21,83,90,6.96
203,Gladstone,AU,2022-07-30 10:29:35,-23.85,151.25,62.53,63,20,12.66
204,Tura,IN,2022-07-30 10:20:58,25.5198,90.2201,80.73,85,100,5.53
205,Naze,JP,2022-07-30 10:30:30,28.3667,129.4833,77.92,88,100,24.29
206,San Quintin,MX,2022-07-30 10:30:31,30.4833,-115.95,66.49,86,47,5.06
207,San Nicolas,PH,2022-07-30 10:30:31,18.1725,120.5953,84.11,84,75,2.3
208,Cam Ranh,VN,2022-07-30 10:30:32,11.9214,109.1591,87.76,66,40,3.44
209,Kruisfontein,ZA,2022-07-30 10:30:32,-34.0033,24.7314,58.15,56,100,17.94
210,Clinton,US,2022-07-30 10:30:32,42.587,-82.9199,64.42,84,0,1.99
211,Villaviciosa,ES,2022-07-30 10:30:33,43.4813,-5.4357,74.61,83,43,6.42
212,Navirai,BR,2022-07-30 10:30:33,-23.065,-54.1906,47.14,68,0,3.04
213,Westport,US,2022-07-30 10:30:34,41.1415,-73.3579,74.17,85,100,4.61
214,Alekseyevka,RU,2022-07-30 10:30:34,50.6309,38.6903,78.22,39,85,9.78
215,Muli,MV,2022-07-30 10:30:35,2.9167,73.5667,78.51,85,100,18.21
216,Campo Verde,BR,2022-07-30 10:30:35,-20.4167,-54.0667,54.28,41,3,3.96
217,Stromness,GB,2022-07-30 10:30:35,58.965,-3.296,58.96,92,95,8.01
218,Knysna,ZA,2022-07-30 10:30:36,-34.0363,23.0471,59.68,53,77,11.68
219,Klyuchi,RU,2022-07-30 10:30:37,52.2667,79.1667,81.68,41,92,2.28
220,Hamilton,US,2022-07-30 10:28:23,39.1834,-84.5333,62.67,94,0,0.0
221,Awjilah,LY,2022-07-30 10:30:37,29.1081,21.2869,98.02,20,0,9.57
222,Vanimo,PG,2022-07-30 10:30:38,-2.6741,141.3028,78.75,86,75,6.55
223,Port Elizabeth,ZA,2022-07-30 10:30:38,-33.918,25.5701,57.49,75,20,16.11
224,Mount Gambier,AU,2022-07-30 10:30:39,-37.8333,140.7667,52.45,58,100,12.35
225,Carnarvon,AU,2022-07-30 10:30:39,-24.8667,113.6333,66.09,56,98,16.6
226,Los Llanos De Aridane,ES,2022-07-30 10:29:04,28.6585,-17.9182,72.12,79,75,18.41
227,Salalah,OM,2022-07-30 10:30:40,17.0151,54.0924,80.69,78,75,12.66
228,Altar,MX,2022-07-30 10:30:40,30.7,-111.8167,82.87,59,97,4.03
