City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
257,Anqiu,CN,36.4342,119.1925,77.68,92,11,7.92,few clouds
258,Maneadero,MX,31.7167,-116.5667,78.1,74,8,5.01,clear sky
259,Port Lincoln,AU,-34.7333,135.8667,53.98,77,3,12.48,clear sky
260,Yerbogachen,RU,61.2767,108.0108,66.67,80,17,0.49,few clouds
261,Stanger,ZA,-29.3282,31.2895,57.09,64,100,5.91,overcast clouds
262,Nanortalik,GL,60.1432,-45.2371,47.23,91,70,7.31,broken clouds
263,Lagdo,CM,9.05,13.7333,72.1,95,100,3.67,overcast clouds
264,Pisco,PE,-13.7,-76.2167,62.65,77,20,8.05,few clouds
265,Airai,TL,-8.9266,125.4092,60.4,87,61,2.77,broken clouds
266,Marzuq,YE,14.4,46.4667,78.73,58,2,15.08,clear sky
267,Chapais,CA,49.7834,-74.8492,78.58,63,98,6.02,overcast clouds
268,Namibe,AO,-15.1961,12.1522,57.51,82,12,11.3,few clouds
269,Arinos,BR,-15.9169,-46.1056,74.46,28,0,3.31,clear sky
270,Horta,PT,38.5333,-28.6333,73.17,75,35,2.62,scattered clouds
271,Tortoli,IT,39.9256,9.6572,78.62,69,0,10.36,clear sky
272,Koroni,GR,36.8,21.95,82.08,68,0,5.28,clear sky
273,Jorochito,BO,-18.05,-63.4333,77.32,63,1,5.59,clear sky
274,Maridi,SS,4.9158,29.4742,66.29,95,97,3.76,overcast clouds
275,San Carlos,VE,9.6612,-68.5827,75.56,92,68,1.95,light rain
276,Ulagan,RU,50.6321,87.9563,52.32,82,74,1.01,broken clouds
277,Sisimiut,GL,66.9395,-53.6735,44.76,84,73,1.3,broken clouds
278,Koungheul,SN,13.9833,-14.8,74.16,93,100,11.99,light rain
279,Fuyu,CN,45.1833,124.8167,77.79,83,1,9.13,clear sky
280,Cabra,ES,37.4725,-4.4421,79.86,49,0,5.48,clear sky
281,Panzhihua,CN,26.5851,101.7128,68.72,92,100,0.43,overcast clouds
282,Dakar,SN,14.6937,-17.4441,80.73,89,40,13.8,scattered clouds
